FrameReceived	FrameStart	SystemTimestamp	Message
39397	685.6208	16492548210501365	Code: 00672387 0101
39397	685.6208	16492548210591123	Code: 006723d2 3636
39397	685.6208	16492548210671166	Code: 00672428 0101
39397	685.6208	16492548210671166	Synch 2: 0067242f
39397	685.6208	16492548210750687	Code: 00672479 1f1f
39397	685.6208	16492548210830477	Code: 006724c8 0101
39397	685.6208	16492548210910261	Code: 00672518 2121
39397	685.6208	16492548210970102	Code: 00672567 0808
39397	685.6208	16492548211049887	Code: 006725a4 7373
39397	685.6208	16492548211129675	Code: 006725f3 0101
39397	685.6208	16492548211209461	Code: 00672644 49c9
39397	685.6208	16492548211319168	Code: 006726b8 0101
39397	685.6208	16492548211374084	Code: 00672701 4bcb
39397	685.6208	16492548211483791	Code: 0067276a 0101
39397	685.6208	16492548211523683	Code: 006727a5 54d4
39397	685.6208	16492548211663310	Synch 2: 00672817
39397	685.6208	16492548211703203	Code: 0067282b 0303
39397	685.6208	16492548211783073	Code: 00672889 1717
39397	685.6208	16492548211862777	Code: 006728d0 1111
39397	685.6208	16492548211942566	Code: 00672921 1393
39397	685.6208	16492548212062243	Code: 0067299a 3030
39398	685.7787	16492548212152009	Code: 006729e8 72f2
39399	685.7925	16492548212251897	Code: 00672a54 0101
39400	685.8044	16492548212351481	Code: 00672ac0 0c0c
39401	685.8104	16492548212431258	Code: 00672b08 0101
39402	685.8191	16492548212511048	Code: 00672b59 2e2e
39403	685.8356	16492548212550942	Code: 00672ba6 0101
39403	685.8356	16492548212630725	Code: 00672bd0 0b0b
39403	685.8356	16492548212690569	Synch 2: 00672bff
39403	685.8356	16492548212690569	Reward: 00672c1c 01f4
39404	685.8524	16492548212730459	Code: 00672c46 0101
39404	685.8524	16492548212810612	Code: 00672c84 3737
39409	685.9357	16492548213667977	Synch 2: 00672fe7
39410	685.9526	16492548213747739	Code: 00673046 0101
39410	685.9526	16492548213827532	Code: 0067307d 0f0f
39412	685.9858	16492548214066894	Code: 0067316e 0101
39412	685.9858	16492548214156652	Code: 006731bd 2929
39413	686.0023	16492548214236440	Code: 00673215 0101
39413	686.0023	16492548214326212	Code: 00673267 1313
39414	686.0191	16492548214396256	Code: 006732bf 0101
39414	686.0191	16492548214476043	Code: 00673306 2a2a
39415	686.0356	16492548214655330	Synch 2: 006733cf
39420	686.1191	16492548215383371	Code: 006736a3 0101
39420	686.1191	16492548215463154	Code: 006736e2 2d2d
39421	686.1361	16492548215672603	Synch 2: 006737b7
39427	686.2357	16492548216615151	Code: 00673b5a 0101
39427	686.2357	16492548216655034	Synch 2: 00673b9f
39427	686.2357	16492548216694929	Code: 00673bb6 1010
39433	686.3358	16492548217672317	Synch 2: 00673f87
39439	686.4358	16492548218659684	Synch 2: 0067436f
39445	686.5358	16492548219676967	Synch 2: 00674757
39446	686.5524	16492548219756755	Reward 2: 006747c9 000a
39451	686.6357	16492548220664314	Synch 2: 00674b3f
39457	686.7358	16492548221641709	Synch 2: 00674f27
39463	686.8358	16492548222678941	Synch 2: 0067530f
39465	686.8691	16492548222928268	Code: 00675405 0101
39465	686.8691	16492548223008063	Code: 0067545b 1313
39466	686.8857	16492548223088152	Code: 006754aa 0101
39466	686.8857	16492548223167628	Code: 006754f8 1010
39469	686.9357	16492548223666306	Synch 2: 006756f7
39475	687.0358	16492548224673595	Synch 2: 00675adf
39481	687.1359	16492548225670934	Synch 2: 00675ec7
39487	687.2357	16492548226648318	Synch 2: 006762af
39493	687.3357	16492548227583021	Code: 0067663d 0101
39493	687.3357	16492548227662814	Code: 00676688 1313
39493	687.3357	16492548227662814	Synch 2: 00676697
39499	687.436	16492548228660162	Synch 2: 00676a7f
39505	687.5356	16492548229667451	Synch 2: 00676e67
39506	687.5524	16492548229727292	Code: 00676ea0 0101
39506	687.5524	16492548229807083	Code: 00676ee8 4949
39511	687.6357	16492548230664794	Synch 2: 0067724f
39517	687.7358	16492548231642505	Synch 2: 00677637
39523	687.8357	16492548232669437	Synch 2: 00677a1f
39529	687.9357	16492548233656800	Synch 2: 00677e07
39535	688.0357	16492548234674070	Synch 2: 006781ef
