FrameReceived	FrameStart	SystemTimestamp	Message
38922	677.3525	16492548127768489	Reward: 0065e079 01f4
38922	677.3525	16492548127808385	Code: 0065e0a5 0101
38922	677.3525	16492548127903192	Code: 0065e0cf 3737
38922	677.3525	16492548127982978	Code: 0065e12c 0101
38922	677.3525	16492548128062764	Code: 0065e17d 1f1f
38922	677.3525	16492548128132578	Code: 0065e1ca 0101
38922	677.3525	16492548128232311	Code: 0065e219 2121
38922	677.3525	16492548128302132	Code: 0065e275 0808
38922	677.3525	16492548128381916	Code: 0065e2c1 7373
38922	677.3525	16492548128421805	Code: 0065e309 0101
38922	677.3525	16492548128481645	Code: 0065e334 49c9
38922	677.3525	16492548128601338	Code: 0065e3aa 0101
38922	677.3525	16492548128681124	Synch 2: 0065e3df
38922	677.3525	16492548128681124	Code: 0065e3f4 4bcb
38922	677.3525	16492548128790831	Code: 0065e45d 0101
38922	677.3525	16492548128840974	Code: 0065e4a5 54d4
38922	677.3525	16492548128959346	Code: 0065e50f 0303
38922	677.3525	16492548129048837	Code: 0065e54c 1717
38922	677.3525	16492548129128622	Code: 0065e5a8 1111
38922	677.3525	16492548129198429	Code: 0065e5f7 1090
38922	677.3525	16492548129328097	Code: 0065e670 3030
38923	677.506	16492548129407877	Code: 0065e6be 6fef
38924	677.52	16492548129487668	Code: 0065e734 0101
38924	677.52	16492548129567453	Code: 0065e75d 0c0c
38925	677.5297	16492548129627287	Code: 0065e7ac 0101
38926	677.5355	16492548129667198	Synch 2: 0065e7c7
38927	677.5523	16492548129697389	Code: 0065e7eb 3636
38927	677.5523	16492548129777127	Code: 0065e82d 0101
38928	677.569	16492548129862957	Code: 0065e880 2e2e
38928	677.569	16492548129952722	Code: 0065e8d3 0101
38928	677.569	16492548130032509	Code: 0065e92e 0b0b
38929	677.5862	16492548130112295	Reward: 0065e97a 01f4
38929	677.5862	16492548130152183	Code: 0065e9a4 0101
38930	677.6024	16492548130231969	Code: 0065e9f6 3737
38930	677.6024	16492548130311757	Code: 0065ea43 0101
38931	677.6191	16492548130391558	Code: 0065ea94 0f0f
38931	677.6191	16492548130471344	Code: 0065eae3 0101
38931	677.6191	16492548130521442	Code: 0065eb36 2929
38932	677.6357	16492548130600990	Code: 0065eb66 0101
38932	677.6357	16492548130640883	Synch 2: 0065ebaf
38932	677.6357	16492548130680769	Code: 0065ebc5 1313
38932	677.6357	16492548130760556	Code: 0065ec05 0101
38933	677.6523	16492548130840350	Code: 0065ec57 2a2a
38938	677.7357	16492548131658173	Synch 2: 0065ef97
38939	677.7525	16492548131718005	Code: 0065efd4 0101
38939	677.7525	16492548131797790	Code: 0065f014 2d2d
38944	677.8357	16492548132655502	Synch 2: 0065f37f
38950	677.9356	16492548133680178	Synch 2: 0065f767
38956	678.0356	16492548134647316	Synch 2: 0065fb4f
38959	678.0856	16492548135066208	Code: 0065fcef 0101
38959	678.0856	16492548135145990	Code: 0065fd26 1111
38962	678.1357	16492548135644646	Synch 2: 0065ff37
38966	678.2023	16492548136262990	Code: 00660196 0101
38966	678.2023	16492548136342792	Code: 006601d3 1313
38967	678.2191	16492548136422577	Code: 00660223 0101
38967	678.2191	16492548136502359	Code: 00660273 1010
38968	678.2357	16492548136661929	Synch 2: 0066031f
38974	678.3358	16492548137649284	Synch 2: 00660707
38980	678.4356	16492548138676539	Synch 2: 00660aef
38984	678.5025	16492548139324815	Reward 2: 00660d94 000a
38986	678.5358	16492548139644197	Synch 2: 00660ed7
38992	678.6357	16492548140671208	Synch 2: 006612bf
38998	678.7357	16492548141668553	Synch 2: 006616a7
39004	678.8358	16492548142636226	Synch 2: 00661a8f
39010	678.9357	16492548143668299	Synch 2: 00661e77
39016	679.0357	16492548144658958	Synch 2: 0066225f
39022	679.1359	16492548145676257	Synch 2: 00662647
39028	679.2357	16492548146663602	Synch 2: 00662a2f
39034	679.3358	16492548147551235	Code: 00662dc0 0101
39034	679.3358	16492548147631022	Code: 00662dec 1313
39034	679.3358	16492548147631022	Synch 2: 00662e17
39040	679.4356	16492548148668276	Synch 2: 006631ff
39046	679.5356	16492548149641671	Synch 2: 006635e7
39047	679.5524	16492548149721242	Code: 00663623 0101
39047	679.5524	16492548149800971	Code: 00663666 4949
39052	679.6357	16492548150668893	Synch 2: 006639cf
39058	679.7357	16492548151657564	Synch 2: 00663db7
39064	679.8357	16492548152670252	Synch 2: 0066419f
