FrameReceived	FrameStart	SystemTimestamp	Message
38734	674.1024	16492548095350709	Code: 006561a1 0101
38734	674.1024	16492548095460415	Code: 00656223 1f1f
38734	674.1024	16492548095540210	Code: 00656273 0101
38734	674.1024	16492548095629964	Code: 006562c3 2121
38734	674.1024	16492548095659883	Synch 2: 006562f7
38734	674.1024	16492548095699785	Code: 0065631d 0808
38734	674.1024	16492548095779567	Code: 00656364 7373
38734	674.1024	16492548095829429	Code: 006563b2 0101
38734	674.1024	16492548095909218	Code: 006563e6 49c9
38734	674.1024	16492548096028896	Code: 0065645a 0101
38734	674.1024	16492548096108683	Code: 006564ae 4bcb
38734	674.1024	16492548096188478	Code: 00656524 0101
38734	674.1024	16492548096248309	Code: 0065654c 54d4
38734	674.1024	16492548096367992	Code: 006565c3 0303
38734	674.1024	16492548096447776	Code: 006565ff 1717
38734	674.1024	16492548096537698	Code: 0065664f 1111
38734	674.1024	16492548096617323	Code: 006566b0 0f8f
38734	674.1024	16492548096657217	Synch 2: 006566df
38734	674.1024	16492548096737009	Code: 00656721 3030
38734	674.1024	16492548096816798	Code: 00656771 6eee
38735	674.2574	16492548096926498	Code: 006567e7 0101
38736	674.2712	16492548097006294	Code: 00656830 0c0c
38736	674.2712	16492548097056156	Code: 0065687d 0101
38737	674.2828	16492548097135942	Code: 006568b7 2e2e
38738	674.289	16492548097215731	Code: 006568fd 0101
38739	674.3024	16492548097295511	Code: 0065694f 0b0b
38741	674.3356	16492548097674499	Synch 2: 00656ac7
38743	674.369	16492548097953756	Code: 00656be2 0101
38743	674.369	16492548098033545	Code: 00656c31 0f0f
38745	674.4023	16492548098213063	Code: 00656cf8 0101
38745	674.4023	16492548098292849	Code: 00656d35 2929
38745	674.4023	16492548098372636	Code: 00656d82 0101
38746	674.419	16492548098442732	Code: 00656dd4 1313
38746	674.419	16492548098492338	Code: 00656e18 0101
38747	674.4357	16492548098572343	Code: 00656e4d 2a2a
38747	674.4357	16492548098661874	Synch 2: 00656eaf
38753	674.5357	16492548099639533	Synch 2: 00657297
38754	674.5527	16492548099714112	Code: 006572d7 0101
38754	674.5527	16492548099803879	Code: 00657313 2d2d
38759	674.6356	16492548100661592	Synch 2: 0065767f
38765	674.7359	16492548101648943	Synch 2: 00657a67
38769	674.8024	16492548102267295	Code: 00657cae 0101
38769	674.8024	16492548102347081	Code: 00657d09 1111
38771	674.8356	16492548102666520	Synch 2: 00657e4f
38777	674.9357	16492548103643903	Synch 2: 00658237
38778	674.9525	16492548103933086	Code: 00658346 0101
38779	674.969	16492548104022594	Code: 0065838c 1313
38781	675.0024	16492548104271936	Code: 00658481 0101
38781	675.0024	16492548104351729	Code: 006584df 1010
38783	675.0356	16492548104670867	Synch 2: 0065861f
38789	675.1357	16492548105568476	Code: 006589b3 0101
38789	675.1357	16492548105608364	Code: 006589ef 1313
38789	675.1357	16492548105668206	Synch 2: 00658a07
38790	675.1524	16492548105788167	Code: 00658a70 0101
38790	675.1524	16492548105867665	Code: 00658aca 1010
38792	675.1857	16492548106077351	Code: 00658ba9 0101
38792	675.1857	16492548106147188	Code: 00658beb 1313
38793	675.2025	16492548106226959	Code: 00658c4d 0101
38793	675.2025	16492548106316464	Code: 00658c82 1010
38795	675.2357	16492548106635611	Synch 2: 00658def
38799	675.3024	16492548107303834	Reward 2: 00659058 000a
38801	675.3356	16492548107672847	Synch 2: 006591d7
38807	675.4357	16492548108640253	Synch 2: 006595bf
38813	675.5358	16492548109678255	Synch 2: 006599a7
38819	675.6357	16492548110648005	Synch 2: 00659d8f
38825	675.7358	16492548111630933	Synch 2: 0065a177
38831	675.8358	16492548112660997	Synch 2: 0065a55f
38837	675.9357	16492548113648408	Synch 2: 0065a947
38843	676.0357	16492548114663379	Synch 2: 0065ad2f
38849	676.1357	16492548115660702	Synch 2: 0065b117
38853	676.2023	16492548116227369	Code: 0065b35d 0101
38853	676.2023	16492548116316877	Code: 0065b391 1313
38855	676.2357	16492548116675929	Synch 2: 0065b4ff
38858	676.2857	16492548117201666	Code: 0065b731 0101
38859	676.3023	16492548117281452	Code: 0065b761 4848
38861	676.3356	16492548117650469	Synch 2: 0065b8e7
38867	676.4357	16492548118637835	Synch 2: 0065bccf
38873	676.5357	16492548119665085	Synch 2: 0065c0b7
38879	676.6357	16492548120642483	Synch 2: 0065c49f
38885	676.7357	16492548121679711	Synch 2: 0065c887
38886	676.7526	16492548121879167	Code: 0065c96d 0101
38887	676.769	16492548121958956	Code: 0065c9a5 3535
38891	676.8357	16492548122647109	Synch 2: 0065cc6f
38897	676.9355	16492548123604558	Code: 0065d00d 0101
38897	676.9355	16492548123644452	Synch 2: 0065d057
38897	676.9355	16492548123684345	Code: 0065d06d 1010
38898	676.9524	16492548123764138	Code: 0065d0b1 0101
38898	676.9524	16492548123833955	Code: 0065d102 1313
38903	677.0359	16492548124681680	Synch 2: 0065d43f
38904	677.0524	16492548124791386	Code: 0065d4b0 0101
38904	677.0524	16492548124871174	Code: 0065d505 1010
38905	677.069	16492548124950952	Code: 0065d554 0101
38905	677.069	16492548125040720	Code: 0065d5a5 1313
38909	677.1357	16492548125639112	Synch 2: 0065d827
38910	677.1523	16492548125808904	Reward: 0065d8a4 01f4
38910	677.1523	16492548125808904	Code: 0065d8cc 0101
38911	677.1689	16492548125888454	Code: 0065d8ff 3737
38915	677.2358	16492548126666373	Synch 2: 0065dc0f
38921	677.3356	16492548127648817	Synch 2: 0065dff7
