FrameReceived	FrameStart	SystemTimestamp	Message
39538	688.0858	16492548235122871	Code: 006783cc 0101
39538	688.0858	16492548235202658	Code: 006783fc 1f1f
39538	688.0858	16492548235282444	Code: 00678451 0101
39538	688.0858	16492548235362230	Code: 0067849a 2121
39538	688.0858	16492548235402123	Code: 006784ea 0808
39538	688.0858	16492548235461964	Code: 00678513 7373
39538	688.0858	16492548235541753	Code: 0067854e 0101
39538	688.0858	16492548235611569	Code: 0067859e 49c9
39538	688.0858	16492548235651465	Synch 2: 006785d7
39538	688.0858	16492548235731243	Code: 0067860b 0101
39538	688.0858	16492548235811030	Code: 0067865d 4bcb
39538	688.0858	16492548235940699	Code: 006786e4 0101
39538	688.0858	16492548236030460	Code: 00678730 54d4
39538	688.0858	16492548236110231	Code: 0067879a 0303
39538	688.0858	16492548236190022	Code: 006787d8 1717
39538	688.0858	16492548236269810	Code: 00678825 1111
39538	688.0858	16492548236349596	Code: 00678877 1494
39538	688.0858	16492548236469275	Code: 006788ee 3030
39538	688.0858	16492548236559035	Code: 0067893e 73f3
39538	688.0858	16492548236638817	Code: 006789ab 0101
39539	688.2372	16492548236689001	Synch 2: 006789bf
39539	688.2372	16492548236718891	Code: 006789e7 0c0c
39540	688.2512	16492548236808373	Code: 00678a3d 0101
39540	688.2512	16492548236883958	Code: 00678a91 2e2e
39541	688.2632	16492548236963737	Code: 00678adb 0101
39542	688.2739	16492548237043525	Code: 00678b2c 0b0b
39546	688.3357	16492548237671855	Code: 00678da4 0101
39547	688.3524	16492548237711745	Synch 2: 00678da7
39547	688.3524	16492548237751639	Code: 00678df2 0f0f
39547	688.3524	16492548237901231	Code: 00678e85 0101
39548	688.3691	16492548237981018	Code: 00678ed6 2929
39548	688.3691	16492548238041109	Code: 00678f24 0101
39549	688.3857	16492548238120644	Code: 00678f60 1313
39549	688.3857	16492548238200440	Code: 00678fb0 0101
39550	688.4023	16492548238270255	Code: 00679002 2a2a
39552	688.4357	16492548238639266	Synch 2: 0067918f
39556	688.5024	16492548239227693	Code: 006793bc 0101
39556	688.5024	16492548239307474	Code: 00679404 2d2d
39558	688.5356	16492548239666516	Synch 2: 00679577
39563	688.6192	16492548240414521	Code: 00679861 0101
39563	688.6192	16492548240484330	Code: 006798a6 1010
39564	688.6363	16492548240663848	Synch 2: 0067995f
39570	688.7357	16492548241681132	Synch 2: 00679d47
39576	688.8358	16492548242654485	Synch 2: 0067a12f
39580	688.9024	16492548243282795	Reward 2: 0067a38f 000a
39582	688.9358	16492548243642095	Synch 2: 0067a517
39588	689.0358	16492548244659120	Synch 2: 0067a8ff
39594	689.1358	16492548245658470	Synch 2: 0067ace7
39600	689.2357	16492548246675986	Synch 2: 0067b0cf
39606	689.3358	16492548247663107	Synch 2: 0067b4b7
39612	689.4357	16492548248680386	Synch 2: 0067b89f
39618	689.5356	16492548249657786	Synch 2: 0067bc87
39622	689.6024	16492548250276115	Code: 0067bede 0101
39622	689.6024	16492548250356189	Code: 0067bf2c 1313
39624	689.6357	16492548250645128	Synch 2: 0067c06f
39630	689.7357	16492548251662416	Synch 2: 0067c457
39636	689.8359	16492548252649778	Synch 2: 0067c83f
39641	689.9191	16492548253388092	Code: 0067cb12 0101
39641	689.9191	16492548253467834	Code: 0067cb54 4949
39642	689.9359	16492548253677314	Synch 2: 0067cc27
39648	690.036	16492548254664391	Synch 2: 0067d00f
39654	690.1357	16492548255641787	Synch 2: 0067d3f7
39660	690.2358	16492548256659674	Synch 2: 0067d7df
39666	690.3359	16492548257653598	Synch 2: 0067dbc7
39672	690.4357	16492548258680788	Synch 2: 0067dfaf
