FrameReceived	FrameStart	SystemTimestamp	Message
38380	667.9691	16492548033943375	Code: 006471da 3737
38380	667.9691	16492548034043105	Code: 00647228 0101
38380	667.9691	16492548034102946	Code: 00647295 3636
38380	667.9691	16492548034192957	Code: 006472c7 0101
38380	667.9691	16492548034272508	Code: 00647323 1f1f
38380	667.9691	16492548034362282	Code: 00647372 0101
38380	667.9691	16492548034452027	Code: 006473cd 2121
38380	667.9691	16492548034511868	Code: 0064742c 0808
38380	667.9691	16492548034591653	Code: 00647462 7373
38380	667.9691	16492548034631548	Synch 2: 006474af
38380	667.9691	16492548034671444	Code: 006474b1 0101
38380	667.9691	16492548034731285	Code: 00647501 49c9
38380	667.9691	16492548034840972	Code: 00647578 0101
38380	667.9691	16492548034930733	Code: 006475ab 4bcb
38380	667.9691	16492548035010526	Code: 00647618 0101
38380	667.9691	16492548035090314	Code: 00647655 54d4
38380	667.9691	16492548035209993	Code: 006476cc 0303
38380	667.9691	16492548035289806	Code: 00647720 1616
38380	667.9691	16492548035329706	Code: 0064776b 1111
38380	667.9691	16492548035419468	Code: 00647794 0d8d
38381	668.1231	16492548035509227	Code: 00647801 3030
38381	668.1231	16492548035579270	Code: 00647848 6cec
38382	668.1368	16492548035658818	Synch 2: 00647897
38382	668.1368	16492548035708686	Code: 006478c7 0101
38383	668.1481	16492548035788474	Code: 00647916 0c0c
38384	668.1545	16492548035868253	Code: 0064795d 0101
38385	668.1689	16492548035948048	Code: 006479b0 2e2e
38385	668.1689	16492548036037799	Code: 006479fd 0101
38386	668.1857	16492548036117585	Code: 00647a58 0b0b
38386	668.1857	16492548036187696	Reward: 00647aa2 01f4
38387	668.2023	16492548036227300	Code: 00647acd 0101
38387	668.2023	16492548036285177	Code: 00647b16 3737
38389	668.2357	16492548036644286	Synch 2: 00647c7f
38395	668.3356	16492548037672499	Synch 2: 00648067
38397	668.3693	16492548037961716	Code: 00648182 0101
38397	668.3693	16492548038031543	Code: 006481db 0f0f
38399	668.4023	16492548038250951	Code: 006482a0 0101
38399	668.4023	16492548038320763	Code: 006482ff 2929
38400	668.4189	16492548038410524	Code: 00648341 0101
38400	668.4189	16492548038490311	Code: 0064839b 1313
38401	668.4357	16492548038570098	Code: 006483eb 0101
38401	668.4357	16492548038649879	Code: 0064843c 2a2a
38401	668.4357	16492548038649879	Synch 2: 0064844f
38407	668.5356	16492548039642596	Synch 2: 00648837
38408	668.5523	16492548039722356	Code: 00648877 0101
38408	668.5523	16492548039792191	Code: 006488be 2d2d
38413	668.6357	16492548040669550	Synch 2: 00648c1f
38419	668.7357	16492548041646930	Synch 2: 00649007
38423	668.8023	16492548042265288	Code: 00649251 0101
38423	668.8023	16492548042345065	Code: 006492aa 1010
38425	668.8357	16492548042664209	Synch 2: 006493ef
38431	668.9357	16492548043651585	Synch 2: 006497d7
38437	669.0356	16492548044678819	Synch 2: 00649bbf
38441	669.1023	16492548045297179	Reward 2: 00649e27 000a
38443	669.1357	16492548045656213	Synch 2: 00649fa7
38449	669.2357	16492548046633593	Synch 2: 0064a38f
38455	669.3356	16492548047660870	Synch 2: 0064a777
38461	669.4357	16492548048638236	Synch 2: 0064ab5f
38467	669.5356	16492548049663024	Synch 2: 0064af47
38473	669.6356	16492548050660376	Synch 2: 0064b32f
38479	669.7357	16492548051637743	Synch 2: 0064b717
38485	669.8358	16492548052668532	Synch 2: 0064baff
38491	669.9357	16492548053645906	Synch 2: 0064bee7
38497	670.0356	16492548054673159	Synch 2: 0064c2cf
38498	670.0524	16492548054752942	Code: 0064c324 0101
38498	670.0524	16492548054832736	Code: 0064c372 1313
38502	670.119	16492548055411191	Code: 0064c5ac 0101
38502	670.119	16492548055490989	Code: 0064c605 4949
38503	670.1357	16492548055650560	Synch 2: 0064c6b7
38509	670.2357	16492548056667836	Synch 2: 0064ca9f
38515	670.3356	16492548057665162	Synch 2: 0064ce87
38521	670.4357	16492548058642878	Synch 2: 0064d26f
38527	670.5358	16492548059669819	Synch 2: 0064d657
38533	670.6357	16492548060657171	Synch 2: 0064da3f
