FrameReceived	FrameStart	SystemTimestamp	Message
39202	682.2524	16492548176794643	Code: 00669ff1 0101
39202	682.2524	16492548176904360	Code: 0066a026 1f1f
39202	682.2524	16492548176964197	Code: 0066a092 0101
39202	682.2524	16492548177043980	Code: 0066a0cf 2121
39202	682.2524	16492548177123770	Code: 0066a11e 0808
39202	682.2524	16492548177203546	Code: 0066a171 7373
39202	682.2524	16492548177243439	Code: 0066a1be 0101
39202	682.2524	16492548177293310	Code: 0066a1e7 49c9
39202	682.2524	16492548177412990	Code: 0066a252 0101
39202	682.2524	16492548177492773	Code: 0066a291 4bcb
39202	682.2524	16492548177562587	Code: 0066a306 0101
39202	682.2524	16492548177652350	Code: 0066a330 54d4
39202	682.2524	16492548177652350	Synch 2: 0066a347
39202	682.2524	16492548177732135	Code: 0066a3a6 0303
39202	682.2524	16492548177821895	Code: 0066a3d9 1717
39202	682.2524	16492548177901681	Code: 0066a429 1111
39202	682.2524	16492548177981467	Code: 0066a479 1292
39202	682.2524	16492548178071229	Code: 0066a4ee 3030
39202	682.2524	16492548178151014	Code: 0066a523 71f1
39202	682.2524	16492548178240775	Code: 0066a592 0101
39203	682.4045	16492548178320562	Code: 0066a5cb 0c0c
39204	682.4186	16492548178480135	Code: 0066a66c 0101
39204	682.4186	16492548178569899	Code: 0066a6bc 2e2e
39206	682.4359	16492548178649682	Code: 0066a714 0101
39206	682.4359	16492548178649682	Synch 2: 0066a72f
39207	682.4524	16492548178729475	Code: 0066a764 0b0b
39211	682.519	16492548179423324	Code: 0066aa39 0101
39211	682.519	16492548179503112	Code: 0066aa6a 0f0f
39212	682.5357	16492548179662697	Synch 2: 0066ab17
39212	682.5357	16492548179702584	Code: 0066ab52 0101
39213	682.5524	16492548179782357	Code: 0066ab83 2929
39213	682.5524	16492548179842206	Code: 0066abd0 0101
39214	682.569	16492548179921991	Code: 0066ac0e 1313
39214	682.569	16492548179991815	Code: 0066ac5c 0101
39215	682.5856	16492548180071829	Code: 0066aca4 2a2a
39218	682.6357	16492548180650044	Synch 2: 0066aeff
39221	682.6857	16492548181068930	Code: 0066b088 0101
39221	682.6857	16492548181148712	Code: 0066b0d8 2d2d
39224	682.7358	16492548181667325	Synch 2: 0066b2e7
39230	682.8357	16492548182649913	Synch 2: 0066b6cf
39236	682.9359	16492548183632478	Synch 2: 0066bab7
39242	683.0358	16492548184669708	Synch 2: 0066be9f
39248	683.1357	16492548185647092	Synch 2: 0066c287
39254	683.2357	16492548186594559	Code: 0066c617 0101
39254	683.2357	16492548186674341	Code: 0066c66d 1010
39254	683.2357	16492548186674341	Synch 2: 0066c66f
39260	683.3357	16492548187581918	Code: 0066ca00 0101
39260	683.3357	16492548187661704	Code: 0066ca49 1313
39260	683.3357	16492548187661704	Synch 2: 0066ca57
39261	683.3525	16492548187731758	Code: 0066caa7 0101
39261	683.3525	16492548187811553	Code: 0066cade 1010
39266	683.4359	16492548188669018	Synch 2: 0066ce3f
