FrameReceived	FrameStart	SystemTimestamp	Message
39068	679.9025	16492548153378059	Code: 00664446 0101
39068	679.9025	16492548153457839	Code: 006644b1 1f1f
39068	679.9025	16492548153527652	Code: 006644fc 0101
39068	679.9025	16492548153597469	Code: 00664544 2121
39068	679.9025	16492548153657312	Synch 2: 00664587
39068	679.9025	16492548153697198	Code: 0066459e 0808
39068	679.9025	16492548153767014	Code: 006645ef 7373
39068	679.9025	16492548153826852	Code: 0066463a 0101
39068	679.9025	16492548153896908	Code: 00664670 49c9
39068	679.9025	16492548154026603	Code: 006646e6 0101
39068	679.9025	16492548154106116	Code: 00664738 4bcb
39068	679.9025	16492548154225792	Code: 006647b0 0101
39068	679.9025	16492548154325522	Code: 00664813 54d4
39068	679.9025	16492548154445198	Code: 00664888 0303
39068	679.9025	16492548154524985	Code: 006648d9 1717
39068	679.9025	16492548154604772	Code: 00664930 1111
39068	679.9025	16492548154644665	Synch 2: 0066496f
39068	679.9025	16492548154684564	Code: 00664986 1191
39068	679.9025	16492548154774319	Code: 006649e9 3030
39068	679.9025	16492548154854351	Code: 00664a22 70f0
39069	680.0589	16492548155003706	Code: 00664ad2 0101
39070	680.0734	16492548155053588	Code: 00664b08 0c0c
39071	680.0847	16492548155143350	Code: 00664b57 0101
39072	680.093	16492548155223119	Code: 00664b93 2e2e
39073	680.1023	16492548155293193	Code: 00664be2 0101
39074	680.119	16492548155382700	Code: 00664c28 0b0b
39075	680.1356	16492548155661967	Synch 2: 00664d57
39078	680.1857	16492548156110747	Code: 00664f16 0101
39078	680.1857	16492548156150640	Code: 00664f5a 0f0f
39080	680.2191	16492548156409954	Code: 0066502e 0101
39080	680.2191	16492548156489743	Code: 00665087 2929
39081	680.2357	16492548156569528	Code: 006650d5 0101
39081	680.2357	16492548156649309	Code: 00665124 1313
39081	680.2357	16492548156649309	Synch 2: 0066513f
39082	680.2523	16492548156729100	Code: 0066517b 0101
39082	680.2523	16492548156808888	Code: 006651c5 2a2a
39087	680.3358	16492548157676563	Synch 2: 00665527
39087	680.3358	16492548157706770	Code: 00665564 0101
39088	680.3524	16492548157746642	Code: 00665598 2d2d
39089	680.369	16492548157925902	Code: 00665620 0101
39089	680.369	16492548158005691	Code: 00665671 1010
39093	680.4357	16492548158663927	Synch 2: 0066590f
39099	680.5358	16492548159631345	Synch 2: 00665cf7
39105	680.6358	16492548160668580	Synch 2: 006660df
39106	680.6525	16492548160788262	Reward 2: 00666152 000a
39111	680.7357	16492548161650998	Synch 2: 006664c7
39117	680.8357	16492548162680329	Synch 2: 006668af
39123	680.9356	16492548163647740	Synch 2: 00666c97
39129	681.0358	16492548164684975	Synch 2: 0066707f
39135	681.1357	16492548165662352	Synch 2: 00667467
39141	681.2357	16492548166646672	Synch 2: 0066784f
39147	681.336	16492548167674170	Synch 2: 00667c37
39153	681.4357	16492548168656401	Synch 2: 0066801f
39154	681.4523	16492548168736179	Code: 0066806f 0101
39154	681.4523	16492548168815965	Code: 006680ac 1313
39159	681.5357	16492548169673681	Synch 2: 00668407
39165	681.6357	16492548170661039	Synch 2: 006687ef
39168	681.6858	16492548171070197	Code: 00668977 0101
39168	681.6858	16492548171159720	Code: 006689ca 4949
39171	681.7358	16492548171638428	Synch 2: 00668bd7
39177	681.8357	16492548172655709	Synch 2: 00668fbf
39183	681.9358	16492548173643356	Synch 2: 006693a7
39189	682.0356	16492548174670319	Synch 2: 0066978f
39195	682.1357	16492548175647712	Synch 2: 00669b77
39201	682.2357	16492548176674968	Synch 2: 00669f5f
