FrameReceived	FrameStart	SystemTimestamp	Message
38195	664.769	16492548002037628	Code: 0063f508 0101
38195	664.769	16492548002117416	Code: 0063f58c 1f1f
38195	664.769	16492548002207166	Code: 0063f5d7 0101
38195	664.769	16492548002286961	Code: 0063f633 2121
38195	664.769	16492548002366750	Code: 0063f682 0808
38195	664.769	16492548002446529	Code: 0063f6d2 7373
38195	664.769	16492548002526319	Code: 0063f720 0101
38195	664.769	16492548002606113	Code: 0063f772 49c9
38195	664.769	16492548002646012	Synch 2: 0063f7af
38195	664.769	16492548002695866	Code: 0063f7e8 0101
38195	664.769	16492548002775654	Code: 0063f81c 4bcb
38195	664.769	16492548002845466	Code: 0063f888 0101
38195	664.769	16492548002945200	Code: 0063f8b9 54d4
38195	664.769	16492548003024985	Code: 0063f927 0303
38195	664.769	16492548003100942	Code: 0063f965 1616
38195	664.769	16492548003190705	Code: 0063f9b0 1111
38195	664.769	16492548003270489	Code: 0063fa0a 0c8c
38195	664.769	16492548003390169	Code: 0063fa87 3030
38196	664.9181	16492548003469969	Code: 0063fad3 6beb
38196	664.9181	16492548003589635	Code: 0063fb61 0101
38197	664.9315	16492548003639500	Synch 2: 0063fb97
38197	664.9315	16492548003679390	Code: 0063fb99 0c0c
38198	664.9429	16492548003759505	Code: 0063fbf2 0101
38199	664.9523	16492548003839253	Code: 0063fc43 2e2e
38200	664.9689	16492548003928731	Code: 0063fc92 0101
38200	664.9689	16492548004008510	Code: 0063fcec 0b0b
38201	664.9856	16492548004128188	Code: 0063fd5a 0101
38202	665.0023	16492548004208015	Code: 0063fdb3 0f0f
38202	665.0023	16492548004367549	Code: 0063fe75 0101
38203	665.019	16492548004447337	Code: 0063fea3 2929
38203	665.019	16492548004487240	Code: 0063fef1 0101
38204	665.0356	16492548004567033	Code: 0063ff1b 1313
38204	665.0356	16492548004666769	Synch 2: 0063ff7f
38205	665.0524	16492548004746555	Code: 0063ffc1 0101
38205	665.0524	16492548004826341	Code: 0064001e 2a2a
38210	665.1357	16492548005634171	Synch 2: 00640367
38210	665.1357	16492548005723969	Code: 006403aa 0101
38211	665.1525	16492548005803719	Code: 006403ef 2d2d
38216	665.2355	16492548006658674	Synch 2: 0064074f
38222	665.3357	16492548007656014	Synch 2: 00640b37
38228	665.4355	16492548008673284	Synch 2: 00640f1f
38234	665.5357	16492548009660642	Synch 2: 00641307
38238	665.6024	16492548010269010	Code: 0064155f 0101
38238	665.6024	16492548010348807	Code: 006415b0 1010
38239	665.6191	16492548010428829	Code: 006415fe 0101
38239	665.6191	16492548010508381	Code: 00641650 1313
38240	665.6356	16492548010588164	Code: 006416ac 0101
38240	665.6356	16492548010648005	Synch 2: 006416ef
38240	665.6356	16492548010687898	Code: 006416ee 1010
38246	665.7357	16492548011575517	Code: 00641a85 0101
38246	665.7357	16492548011655318	Code: 00641aca 1313
38246	665.7357	16492548011655318	Synch 2: 00641ad7
38247	665.7524	16492548011745317	Code: 00641b2e 0101
38247	665.7524	16492548011834825	Code: 00641b74 1010
38252	665.8358	16492548012642914	Synch 2: 00641ebf
38258	665.9357	16492548013659955	Synch 2: 006422a7
38264	666.0357	16492548014657289	Synch 2: 0064268f
38270	666.1357	16492548015644888	Synch 2: 00642a77
38276	666.2358	16492548016661930	Synch 2: 00642e5f
38282	666.3356	16492548017639309	Synch 2: 00643247
38288	666.4359	16492548018662471	Synch 2: 0064362f
38292	666.5023	16492548019280810	Code: 0064388f 0101
38292	666.5023	16492548019360596	Code: 006438e2 1313
38293	666.5189	16492548019440382	Code: 00643932 0101
38293	666.5189	16492548019520169	Code: 00643982 1010
38294	666.5356	16492548019639849	Synch 2: 00643a17
38300	666.6357	16492548020627225	Synch 2: 00643dff
38303	666.6857	16492548021076258	Code: 00643fa3 0101
38303	666.6857	16492548021155801	Code: 00643fe7 1313
38306	666.7356	16492548021654468	Synch 2: 006441e7
38312	666.8357	16492548022631853	Synch 2: 006445cf
38317	666.919	16492548023379863	Code: 006448ad 0101
38317	666.919	16492548023459651	Code: 006448e8 4848
38318	666.9357	16492548023659114	Synch 2: 006449b7
38324	667.0356	16492548024636804	Synch 2: 00644d9f
38330	667.1358	16492548025663758	Synch 2: 00645187
38336	667.2357	16492548026651111	Synch 2: 0064556f
38342	667.3356	16492548027638485	Synch 2: 00645957
38344	667.3689	16492548027887805	Code: 00645a42 0101
38344	667.3689	16492548027967590	Code: 00645a83 3535
38348	667.4356	16492548028665746	Synch 2: 00645d3f
38354	667.5356	16492548029633150	Synch 2: 00646127
38360	667.6357	16492548030670386	Synch 2: 0064650f
38366	667.7357	16492548031642877	Synch 2: 006468f7
38367	667.7524	16492548031812417	Reward: 0064697a 01f4
38367	667.7524	16492548031812417	Code: 006469a3 0101
38368	667.769	16492548031892212	Code: 006469d8 3737
38372	667.8356	16492548032680102	Synch 2: 00646cdf
38378	667.9357	16492548033664129	Synch 2: 006470c7
38379	667.9523	16492548033823696	Reward: 0064715e 01f4
38379	667.9523	16492548033863590	Code: 00647188 0101
