FrameRecv	FrameStart	SystemTimestamp	Message
340	11.44743	16982608706704934	T0000bbdbJ340000LffffWW
340	11.44743	16982608706754840	T0000bbfcJ310000LffffWW
340	11.44743	16982608706789906	T0000bc1dJ310000LffffWW
340	11.44743	16982608706835078	T0000bc3eJ2b0000LffffWW
340	11.44743	16982608706874984	T0000bc5fJ310000LffffWW
340	11.44743	16982608706920537	T0000bc80J210000Ld5ffWW
340	11.44743	16982608706920537	T0000bca1J120000L7b94WW
340	11.44743	16982608706950523	T0000bcc2J090000L4740WW
340	11.44743	16982608706995840	T0000bce3J020000L351dWW
340	11.44743	16982608707045745	T0000bd04J000000L2b06BB
340	11.44743	16982608707085638	T0000bd25J000000L1c00BB
340	11.44743	16982608707085638	T0000bd46J000000L1300BB
340	11.44743	16982608707115720	T0000bd67J000000L0f00BB
340	11.44743	16982608707165622	T0000bd88J000000L0b00BB
340	11.44743	16982608707200653	T0000bda9J000000L0900BB
340	11.44743	16982608707235730	T0000bdcaJ000000L3b00WB
340	11.44743	16982608707235730	T0000bdebJ000000Lad00WB
340	11.44743	16982608707286155	T0000be0cJ000000Lff00WB
340	11.44743	16982608707336247	T0000be2dJ000000Lff00WB
340	11.44743	16982608707371257	T0000be4eJ000000Lff00WB
340	11.44743	16982608707416438	T0000be6fJ000000Lff00WB
340	11.44743	16982608707416438	T0000be90J000000Lff00WB
340	11.44743	16982608707456332	T0000beb1J000000Lff00WB
340	11.44743	16982608707491293	T0000bed2J000000Lff00WB
340	11.44743	16982608707526481	T0000bef3J000000Lff00WB
340	11.44743	16982608707566372	T0000bf14J000000Lf400WB
340	11.44743	16982608707566372	T0000bf35J000000L8800WB
340	11.44743	16982608707616342	T0000bf56J000000L4c00WB
340	11.44743	16982608707656249	T0000bf77J000000L3700WB
340	11.44743	16982608707691191	T0000bf98J000000L2b00BB
340	11.44743	16982608707741098	T0000bfb9J000000L1d00BB
340	11.44743	16982608707741098	T0000bfdaJ000000L1300BB
340	11.44743	16982608707786110	T0000bffbJ000000L0e00BB
340	11.44743	16982608707821188	T0000c01cJ000000L0a00BB
340	11.44743	16982608707856209	T0000c03dJ000000L0800BB
340	11.44743	16982608707901508	T0000c05eJ000000L2300BB
340	11.44743	16982608707901508	T0000c07fJ000000L9400WB
340	11.44743	16982608707941467	T0000c0a0J000000Lf600WB
340	11.44743	16982608707976419	T0000c0c1J000000Lff00WB
340	11.44743	16982608708031351	T0000c0e2J000000Lff00WB
340	11.44743	16982608708071268	T0000c103J000000Lff00WB
340	11.44743	16982608708096763	T0000c124J000000Lff00WB
340	11.44743	16982608708096763	T0000c145J000000Lff00WB
340	11.44743	16982608708136749	T0000c166J000000Lff00WB
340	11.44743	16982608708191707	T0000c187J000000Lff00WB
340	11.44743	16982608708221845	T0000c1a8J000000Lff00WB
340	11.44743	16982608708266668	T0000c1c9J000000L9800WB
340	11.44743	16982608708266668	T0000c1eaJ000000L5100WB
340	11.44743	16982608708301675	T0000c20bJ000000L3900WB
340	11.44743	16982608708341578	T0000c22cJ000000L2c00BB
340	11.44743	16982608708396835	T0000c24dJ000000L1e00BB
340	11.44743	16982608708436809	T0000c26eJ000000L1400BB
340	11.44743	16982608708436809	T0000c28fJ000000L0e00BB
340	11.44743	16982608708476699	T0000c2b0J000000L0900BB
340	11.44743	16982608708517305	T0000c2d1J000000L0700BB
340	11.44743	16982608708552602	T0000c2f2J000000L1100BB
340	11.44743	16982608708587611	T0000c313J000000L7800WB
340	11.44743	16982608708587611	T0000c334J0d0000Lea7cWW
340	11.44743	16982608708642714	T0000c355J160000LffcbWW
340	11.44743	16982608708687691	T0000c376J200000LfffbWW
340	11.44743	16982608708717717	T0000c397J2a0000LffffWW
340	11.44743	16982608708757629	T0000c3b8J2d0000LffffWW
340	11.44743	16982608708757629	T0000c3d9J2e0000LffffWW
340	11.44743	16982608708792589	T0000c3faJ2c0000LffffWW
340	11.44743	16982608708842523	T0000c41bJ2f0000LffffWW
340	11.44743	16982608708877681	T0000c43cJ2d0000LffffWW
340	11.44743	16982608708922602	T0000c45dJ1d0000Lacd7WW
340	11.44743	16982608708922602	T0000c47eJ0f0000L5766WW
340	11.44743	16982608708962493	T0000c49fJ050000L3c38WW
340	11.44743	16982608708997594	T0000c4c0J020000L2c1cBW
340	11.44743	16982608709037497	T0000c4e1J000000L2009BB
340	11.44743	16982608709092460	T0000c502J000000L1400BB
340	11.44743	16982608709092460	T0000c523J000000L0d00BB
340	11.44743	16982608709122466	T0000c544J000000L0800BB
340	11.44743	16982608709162358	T0000c565J000000L0600BB
340	11.44743	16982608709217586	T0000c586J000000L0600BB
340	11.44743	16982608709252608	T0000c5a7J040000L5b2aWW
340	11.44743	16982608709287691	T0000c5c8J180000Ldbb8WW
340	11.44743	16982608709287691	T0000c5e9J210000LfffbWW
340	11.44743	16982608709342642	T0000c60aJ250000LffffWW
340	11.44743	16982608709387618	T0000c62bJ280000LffffWW
340	11.44743	16982608709418071	T0000c64cJ350000LffffWW
340	11.44743	16982608709457965	T0000c66dJ2f0000LffffWW
340	11.44743	16982608709457965	T0000c68eJ360000LffffWW
340	11.44743	16982608709492929	T0000c6afJ300000LffffWW
340	11.44743	16982608709548771	T0000c6d0J2f0000LffffWW
340	11.44743	16982608709578689	T0000c6f1J1a0000Lc4f8WW
340	11.44743	16982608709613857	T0000c712J130000L5f75WW
340	11.44743	16982608709613857	T0000c733J050000L3f41WW
340	11.44743	16982608709653746	T0000c754J030000L2e21BW
340	11.44743	16982608709698807	T0000c775J000000L210dBB
340	11.44743	16982608709738719	T0000c796J000000L1500BB
340	11.44743	16982608709778625	T0000c7b7J000000L0d00BB
340	11.44743	16982608709778625	T0000c7d8J000000L0700BB
340	11.44743	16982608709818673	T0000c7f9J000000L0500BB
340	11.44743	16982608709868572	T0000c81aJ000000L0300BB
340	11.44743	16982608709903614	T0000c83bJ000000L3f00WB
340	11.44743	16982608709953514	T0000c85cJ000000Lcb00WB
340	11.44743	16982608709953514	T0000c87dJ000000Lfd00WB
340	11.44743	16982608709988502	T0000c89eJ000000Lff00WB
340	11.44743	16982608710038473	T0000c8bfJ000000Lff00WB
340	11.44743	16982608710068427	T0000c8e0J000000Lff00WB
340	11.44743	16982608710103426	T0000c901J000000Lff00WB
340	11.44743	16982608710103426	T0000c922J000000Lff00WB
340	11.44743	16982608710148449	T0000c943J000000Lff00WB
340	11.44743	16982608710188349	T0000c964J000000Lff00WB
340	11.44743	16982608710228452	T0000c985J000000Le200WB
340	11.44743	16982608710278409	T0000c9a6J080000L6860WW
340	11.44743	16982608710278409	T0000c9c7J180000L43bcWW
340	11.44743	16982608710323407	T0000c9e8J200000L30f8BW
340	11.44743	16982608710363302	T0000ca09J280000L21ffBW
340	11.44743	16982608710403350	T0000ca2aJ2c0000L16ffBW
340	11.44743	16982608710433288	T0000ca4bJ2e0000L0dffBW
340	11.44743	16982608710433288	T0000ca6cJ370000L06ffBW
340	11.44743	16982608710488255	T0000ca8dJ300000L04ffBW
340	11.44743	16982608710518458	T0000caaeJ300000L02ffBW
340	11.44743	16982608710553451	T0000cacfJ3c0000L25ffBW
340	11.44743	16982608710603751	T0000caf0J370000Lb7ffWW
340	11.44743	16982608710653701	T0000cb11J3f0000Lf3ffWW
340	11.44743	16982608710653701	T0000cb32J310000LffffWW
340	11.44743	16982608710688703	T0000cb53J360000LffffWW
340	11.44743	16982608710718728	T0000cb74J310000LffffWW
340	11.44743	16982608710758624	T0000cb95J310000LffffWW
340	11.44743	16982608710798802	T0000cbb6J2c0000LffffWW
340	11.44743	16982608710798802	T0000cbd7J310000LffffWW
340	11.44743	16982608710858726	T0000cbf8J310000LffffWW
340	11.44743	16982608710888857	T0000cc19J340000LffffWW
340	11.44743	16982608710939140	T0000cc3aJ370000L74ffWW
340	11.44743	16982608710974097	T0000cc5bJ360000L48ffWW
340	11.44743	16982608710974097	T0000cc7cJ310000L32ffWW
340	11.44743	16982608711019180	T0000cc9dJ2f0000L22ffBW
340	11.44743	16982608711064158	T0000ccbeJ310000L17ffBW
340	11.44743	16982608711089310	T0000ccdfJ310000L0dffBW
340	11.44743	16982608711139317	T0000cd00J320000L06ffBW
340	11.44743	16982608711139317	T0000cd21J310000L03ffBW
340	11.44743	16982608711179199	T0000cd42J310000L01ffBW
340	11.44743	16982608711224266	T0000cd63J2d0000L11ffBW
340	11.44743	16982608711259480	T0000cd84J1a0000La0a3WW
340	11.44743	16982608711294418	T0000cda5J0a0000Le959WW
340	11.44743	16982608711294418	T0000cdc6J040000Lff2dWW
340	11.44743	16982608711339500	T0000cde7J010000Lff12WW
340	11.44743	16982608711379391	T0000ce08J000000Lff00WB
340	11.44743	16982608711414371	T0000ce29J000000Lff00WB
340	11.44743	16982608711454276	T0000ce4aJ000000Lff00WB
340	11.44743	16982608711454276	T0000ce6bJ000000Lff00WB
340	11.44743	16982608711499580	T0000ce8cJ000000Lff00WB
340	11.44743	16982608711539625	T0000ceadJ000000Lff00WB
340	11.44743	16982608711579624	T0000ceceJ000000L8200WB
340	11.44743	16982608711619790	T0000ceefJ000000L4e00WB
340	11.44743	16982608711659683	T0000cf10J000000L3400WB
340	11.44743	16982608711659683	T0000cf31J000000L2300BB
340	11.44743	16982608711714610	T0000cf52J000000L1900BB
340	11.44743	16982608711754508	T0000cf73J000000L0e00BB
340	11.44743	16982608711789507	T0000cf94J000000L0600BB
340	11.44743	16982608711839489	T0000cfb5J000000L0200BB
340	11.44743	16982608711839489	T0000cfd6J000000L0000BB
340	11.44743	16982608711874447	T0000cff7J000000L0300BB
340	11.44743	16982608711919500	T0000d018J000000L8719WW
340	11.44743	16982608711959394	T0000d039J100000Ldc84WW
340	11.44743	16982608711994337	T0000d05aJ1b0000Lffd3WW
340	11.44743	16982608711994337	T0000d07bJ210000LffffWW
340	11.44743	16982608712034251	T0000d09cJ280000LffffWW
340	11.44743	16982608712074146	T0000d0bdJ2d0000LffffWW
340	11.44743	16982608712119236	T0000d0deJ280000LffffWW
340	11.44743	16982608712159149	T0000d0ffJ2f0000LffffWW
340	11.44743	16982608712159149	T0000d120J300000LffffWW
340	11.44743	16982608712199566	Reward 2: 0000d139 00fa
