FrameSent	FrameStart	SystemTimestamp	Message
38195	664.769	16492548001907968	NEU 257
38195	664.769	16492548002037628	NEU 7967
38195	664.769	16492548002117416	NEU 257
38195	664.769	16492548002207166	NEU 8481
38195	664.769	16492548002286961	NEU 2056
38195	664.769	16492548002366750	NEU 29555
38195	664.769	16492548002446529	NEU 257
38195	664.769	16492548002526319	NEU 51657
38195	664.769	16492548002646012	NEU 257
38195	664.769	16492548002695866	NEU 52171
38195	664.769	16492548002805604	NEU 257
38195	664.769	16492548002845466	NEU 54484
38195	664.769	16492548002965146	NEU 771
38195	664.769	16492548003024985	NEU 5654
38195	664.769	16492548003100942	NEU 4369
38195	664.769	16492548003190705	NEU 35980
38195	664.769	16492548003310381	NEU 12336
38195	664.769	16492548003390169	NEU 60395
38196	664.9181	16492548003529796	NEU 257
38196	664.9181	16492548003589635	NEU 3084
38197	664.9315	16492548003679390	NEU 257
38198	664.9429	16492548003759505	NEU 11822
38199	664.9523	16492548003839253	NEU 257
38200	664.9689	16492548003928731	NEU 2827
38201	664.9856	16492548004038429	NEU 257
38201	664.9856	16492548004128188	NEU 3855
38202	665.0023	16492548004317702	NEU 257
38202	665.0023	16492548004367549	NEU 10537
38203	665.019	16492548004447337	NEU 257
38203	665.019	16492548004487240	NEU 4883
38204	665.0356	16492548004646817	NEU 257
38205	665.0524	16492548004746555	NEU 10794
38210	665.1357	16492548005654114	NEU 257
38210	665.1357	16492548005723969	NEU 11565
38237	665.5858	16492548010189251	NEU 257
38238	665.6024	16492548010269010	NEU 4112
38238	665.6024	16492548010348807	NEU 257
38239	665.6191	16492548010428829	NEU 4883
38239	665.6191	16492548010518351	NEU 257
38240	665.6356	16492548010588164	NEU 4112
38245	665.719	16492548011505707	NEU 257
38246	665.7357	16492548011575517	NEU 4883
38246	665.7357	16492548011675638	NEU 257
38247	665.7524	16492548011745317	NEU 4112
38291	666.4857	16492548019191050	NEU 257
38292	666.5023	16492548019280810	NEU 4883
38292	666.5023	16492548019360596	NEU 257
38293	666.5189	16492548019440382	NEU 4112
38302	666.669	16492548021006208	NEU 257
38303	666.6857	16492548021076258	NEU 4883
38316	666.9023	16492548023320021	NEU 257
38317	666.919	16492548023379863	NEU 18504
38343	667.3524	16492548027817995	NEU 257
38344	667.3689	16492548027887805	NEU 13621
38367	667.7524	16492548031722657	RWD 500
38367	667.7524	16492548031762550	NEU 257
38367	667.7524	16492548031812417	NEU 14135
38379	667.9523	16492548033743911	RWD 500
38379	667.9523	16492548033783806	NEU 257
38379	667.9523	16492548033863590	NEU 14135
