FrameSent	FrameStart	SystemTimestamp	Message
39397	685.6208	16492548210501365	NEU 13878
39397	685.6208	16492548210591123	NEU 257
39397	685.6208	16492548210671166	NEU 7967
39397	685.6208	16492548210750687	NEU 257
39397	685.6208	16492548210830477	NEU 8481
39397	685.6208	16492548210910261	NEU 2056
39397	685.6208	16492548210970102	NEU 29555
39397	685.6208	16492548211049887	NEU 257
39397	685.6208	16492548211129675	NEU 51657
39397	685.6208	16492548211239381	NEU 257
39397	685.6208	16492548211319168	NEU 52171
39397	685.6208	16492548211423949	NEU 257
39397	685.6208	16492548211483791	NEU 54484
39397	685.6208	16492548211603470	NEU 771
39397	685.6208	16492548211703203	NEU 5911
39397	685.6208	16492548211783073	NEU 4369
39397	685.6208	16492548211862777	NEU 37779
39397	685.6208	16492548211982460	NEU 12336
39398	685.7787	16492548212062243	NEU 62194
39398	685.7787	16492548212171951	NEU 257
39399	685.7925	16492548212271689	NEU 3084
39400	685.8044	16492548212351481	NEU 257
39401	685.8104	16492548212431258	NEU 11822
39402	685.8191	16492548212511048	NEU 257
39403	685.8356	16492548212550942	NEU 2827
39403	685.8356	16492548212630725	RWD 500
39403	685.8356	16492548212670622	NEU 257
39404	685.8524	16492548212730459	NEU 14135
39410	685.9526	16492548213687913	NEU 257
39410	685.9526	16492548213747739	NEU 3855
39411	685.9691	16492548213987111	NEU 257
39412	685.9858	16492548214066894	NEU 10537
39412	685.9858	16492548214156652	NEU 257
39413	686.0023	16492548214236440	NEU 4883
39413	686.0023	16492548214326212	NEU 257
39414	686.0191	16492548214396256	NEU 10794
39419	686.1024	16492548215323536	NEU 257
39420	686.1191	16492548215383371	NEU 11565
39426	686.2191	16492548216525375	NEU 257
39427	686.2357	16492548216615151	NEU 4112
39446	686.5524	16492548219716860	RWB 10
39464	686.8525	16492548222838509	NEU 257
39465	686.8691	16492548222928268	NEU 4883
39465	686.8691	16492548223008063	NEU 257
39466	686.8857	16492548223088152	NEU 4112
39492	687.319	16492548227503236	NEU 257
39493	687.3357	16492548227583021	NEU 4883
39505	687.5356	16492548229647508	NEU 257
39506	687.5524	16492548229727292	NEU 18761
