FrameSent	FrameStart	SystemTimestamp	Message
38380	667.9691	16492548033943375	NEU 257
38380	667.9691	16492548034043105	NEU 13878
38380	667.9691	16492548034102946	NEU 257
38380	667.9691	16492548034192957	NEU 7967
38380	667.9691	16492548034272508	NEU 257
38380	667.9691	16492548034362282	NEU 8481
38380	667.9691	16492548034452027	NEU 2056
38380	667.9691	16492548034511868	NEU 29555
38380	667.9691	16492548034591653	NEU 257
38380	667.9691	16492548034671444	NEU 51657
38380	667.9691	16492548034791129	NEU 257
38380	667.9691	16492548034840972	NEU 52171
38380	667.9691	16492548034950687	NEU 257
38380	667.9691	16492548035010526	NEU 54484
38380	667.9691	16492548035130207	NEU 771
38380	667.9691	16492548035209993	NEU 5654
38380	667.9691	16492548035289806	NEU 4369
38380	667.9691	16492548035329706	NEU 36237
38380	667.9691	16492548035439413	NEU 12336
38381	668.1231	16492548035509227	NEU 60652
38381	668.1231	16492548035638872	NEU 257
38382	668.1368	16492548035708686	NEU 3084
38383	668.1481	16492548035788474	NEU 257
38384	668.1545	16492548035868253	NEU 11822
38385	668.1689	16492548035948048	NEU 257
38385	668.1689	16492548036037799	NEU 2827
38386	668.1857	16492548036117585	RWD 500
38386	668.1857	16492548036157484	NEU 257
38387	668.2023	16492548036227300	NEU 14135
38397	668.3693	16492548037872268	NEU 257
38397	668.3693	16492548037961716	NEU 3855
38398	668.3859	16492548038151212	NEU 257
38399	668.4023	16492548038250951	NEU 10537
38399	668.4023	16492548038320763	NEU 257
38400	668.4189	16492548038410524	NEU 4883
38400	668.4189	16492548038490311	NEU 257
38401	668.4357	16492548038570098	NEU 10794
38407	668.5356	16492548039652259	NEU 257
38408	668.5523	16492548039722356	NEU 11565
38422	668.7856	16492548042175527	NEU 257
38423	668.8023	16492548042265288	NEU 4112
38441	669.1023	16492548045207414	RWB 10
38497	670.0356	16492548054673159	NEU 257
38498	670.0524	16492548054752942	NEU 4883
38501	670.1024	16492548055321425	NEU 257
38502	670.119	16492548055411191	NEU 18761
