FrameSent	FrameStart	SystemTimestamp	Message
38734	674.1024	16492548095250979	NEU 257
38734	674.1024	16492548095380628	NEU 7967
38734	674.1024	16492548095460415	NEU 257
38734	674.1024	16492548095540210	NEU 8481
38734	674.1024	16492548095629964	NEU 2056
38734	674.1024	16492548095699785	NEU 29555
38734	674.1024	16492548095779567	NEU 257
38734	674.1024	16492548095829429	NEU 51657
38734	674.1024	16492548095949109	NEU 257
38734	674.1024	16492548096028896	NEU 52171
38734	674.1024	16492548096148581	NEU 257
38734	674.1024	16492548096188478	NEU 54484
38734	674.1024	16492548096308152	NEU 771
38734	674.1024	16492548096367992	NEU 5911
38734	674.1024	16492548096447776	NEU 4369
38734	674.1024	16492548096537698	NEU 36751
38734	674.1024	16492548096657217	NEU 12336
38734	674.1024	16492548096737009	NEU 61166
38735	674.2574	16492548096856683	NEU 257
38735	674.2574	16492548096926498	NEU 3084
38736	674.2712	16492548097006294	NEU 257
38736	674.2712	16492548097056156	NEU 11822
38737	674.2828	16492548097135942	NEU 257
38738	674.289	16492548097215731	NEU 2827
38743	674.369	16492548097873971	NEU 257
38743	674.369	16492548097953756	NEU 3855
38744	674.3856	16492548098153221	NEU 257
38745	674.4023	16492548098213063	NEU 10537
38745	674.4023	16492548098292849	NEU 257
38745	674.4023	16492548098372636	NEU 4883
38746	674.419	16492548098442732	NEU 257
38746	674.419	16492548098492338	NEU 10794
38753	674.5357	16492548099649223	NEU 257
38754	674.5527	16492548099714112	NEU 11565
38768	674.7856	16492548102167563	NEU 257
38769	674.8024	16492548102267295	NEU 4369
38778	674.9525	16492548103863267	NEU 257
38778	674.9525	16492548103933086	NEU 4883
38780	674.9857	16492548104172207	NEU 257
38781	675.0024	16492548104271936	NEU 4112
38788	675.119	16492548105508934	NEU 257
38789	675.1357	16492548105568476	NEU 4883
38789	675.1357	16492548105698116	NEU 257
38790	675.1524	16492548105788167	NEU 4112
38791	675.1691	16492548106007405	NEU 257
38792	675.1857	16492548106077351	NEU 4883
38792	675.1857	16492548106176856	NEU 257
38793	675.2025	16492548106226959	NEU 4112
38799	675.3024	16492548107214082	RWB 10
38852	676.1857	16492548116177344	NEU 257
38853	676.2023	16492548116227369	NEU 4883
38858	676.2857	16492548117151802	NEU 257
38858	676.2857	16492548117201666	NEU 18504
38886	676.7526	16492548121819326	NEU 257
38886	676.7526	16492548121879167	NEU 13621
38896	676.9189	16492548123514801	NEU 257
38897	676.9355	16492548123604558	NEU 4112
38897	676.9355	16492548123684345	NEU 257
38898	676.9524	16492548123764138	NEU 4883
38903	677.0359	16492548124701628	NEU 257
38904	677.0524	16492548124791386	NEU 4112
38904	677.0524	16492548124871174	NEU 257
38905	677.069	16492548124950952	NEU 4883
38910	677.1523	16492548125718968	RWD 500
38910	677.1523	16492548125759057	NEU 257
38910	677.1523	16492548125808904	NEU 14135
38921	677.3356	16492548127728594	RWD 500
