FrameSent	FrameStart	SystemTimestamp	Message
39538	688.0858	16492548235073005	NEU 257
39538	688.0858	16492548235122871	NEU 7967
39538	688.0858	16492548235202658	NEU 257
39538	688.0858	16492548235282444	NEU 8481
39538	688.0858	16492548235362230	NEU 2056
39538	688.0858	16492548235402123	NEU 29555
39538	688.0858	16492548235461964	NEU 257
39538	688.0858	16492548235541753	NEU 51657
39538	688.0858	16492548235651465	NEU 257
39538	688.0858	16492548235731243	NEU 52171
39538	688.0858	16492548235860898	NEU 257
39538	688.0858	16492548235940699	NEU 54484
39538	688.0858	16492548236050408	NEU 771
39538	688.0858	16492548236110231	NEU 5911
39538	688.0858	16492548236190022	NEU 4369
39538	688.0858	16492548236269810	NEU 38036
39538	688.0858	16492548236389488	NEU 12336
39538	688.0858	16492548236469275	NEU 62451
39538	688.0858	16492548236578981	NEU 257
39538	688.0858	16492548236638817	NEU 3084
39539	688.2372	16492548236718891	NEU 257
39540	688.2512	16492548236808373	NEU 11822
39540	688.2512	16492548236883958	NEU 257
39541	688.2632	16492548236963737	NEU 2827
39546	688.3357	16492548237592486	NEU 257
39546	688.3357	16492548237671855	NEU 3855
39547	688.3524	16492548237821450	NEU 257
39547	688.3524	16492548237901231	NEU 10537
39548	688.3691	16492548237981018	NEU 257
39548	688.3691	16492548238041109	NEU 4883
39549	688.3857	16492548238120644	NEU 257
39549	688.3857	16492548238200440	NEU 10794
39555	688.4858	16492548239157878	NEU 257
39556	688.5024	16492548239227693	NEU 11565
39562	688.6024	16492548240344993	NEU 257
39563	688.6192	16492548240414521	NEU 4112
39580	688.9024	16492548243203394	RWB 10
39621	689.5859	16492548250196328	NEU 257
39622	689.6024	16492548250276115	NEU 4883
39640	689.9023	16492548253317990	NEU 257
39641	689.9191	16492548253388092	NEU 18761
