FrameSent	FrameStart	SystemTimestamp	Message
38922	677.3525	16492548127768489	NEU 257
38922	677.3525	16492548127808385	NEU 14135
38922	677.3525	16492548127903192	NEU 257
38922	677.3525	16492548127982978	NEU 7967
38922	677.3525	16492548128062764	NEU 257
38922	677.3525	16492548128132578	NEU 8481
38922	677.3525	16492548128232311	NEU 2056
38922	677.3525	16492548128302132	NEU 29555
38922	677.3525	16492548128381916	NEU 257
38922	677.3525	16492548128421805	NEU 51657
38922	677.3525	16492548128541489	NEU 257
38922	677.3525	16492548128601338	NEU 52171
38922	677.3525	16492548128721009	NEU 257
38922	677.3525	16492548128790831	NEU 54484
38922	677.3525	16492548128899233	NEU 771
38922	677.3525	16492548128959346	NEU 5911
38922	677.3525	16492548129048837	NEU 4369
38922	677.3525	16492548129128622	NEU 37008
38922	677.3525	16492548129248296	NEU 12336
38922	677.3525	16492548129328097	NEU 61423
38923	677.506	16492548129447772	NEU 257
38924	677.52	16492548129487668	NEU 3084
38924	677.52	16492548129567453	NEU 257
38925	677.5297	16492548129627287	NEU 13878
38927	677.5523	16492548129697389	NEU 257
38927	677.5523	16492548129777127	NEU 11822
38928	677.569	16492548129862957	NEU 257
38928	677.569	16492548129952722	NEU 2827
38928	677.569	16492548130032509	RWD 500
38929	677.5862	16492548130072403	NEU 257
38929	677.5862	16492548130152183	NEU 14135
38930	677.6024	16492548130231969	NEU 257
38930	677.6024	16492548130311757	NEU 3855
38931	677.6191	16492548130391558	NEU 257
38931	677.6191	16492548130471344	NEU 10537
38931	677.6191	16492548130521442	NEU 257
38932	677.6357	16492548130600990	NEU 4883
38932	677.6357	16492548130680769	NEU 257
38932	677.6357	16492548130760556	NEU 10794
38938	677.7357	16492548131648190	NEU 257
38939	677.7525	16492548131718005	NEU 11565
38958	678.069	16492548135006362	NEU 257
38959	678.0856	16492548135066208	NEU 4369
38965	678.1858	16492548136203157	NEU 257
38966	678.2023	16492548136262990	NEU 4883
38966	678.2023	16492548136342792	NEU 257
38967	678.2191	16492548136422577	NEU 4112
38984	678.5025	16492548139274946	RWB 10
39033	679.319	16492548147501360	NEU 257
39034	679.3358	16492548147551235	NEU 4883
39046	679.5356	16492548149651363	NEU 257
39047	679.5524	16492548149721242	NEU 18761
