FrameSent	FrameStart	SystemTimestamp	Message
39202	682.2524	16492548176734803	NEU 257
39202	682.2524	16492548176794643	NEU 7967
39202	682.2524	16492548176904360	NEU 257
39202	682.2524	16492548176964197	NEU 8481
39202	682.2524	16492548177043980	NEU 2056
39202	682.2524	16492548177123770	NEU 29555
39202	682.2524	16492548177203546	NEU 257
39202	682.2524	16492548177243439	NEU 51657
39202	682.2524	16492548177353147	NEU 257
39202	682.2524	16492548177412990	NEU 52171
39202	682.2524	16492548177532667	NEU 257
39202	682.2524	16492548177572562	NEU 54484
39202	682.2524	16492548177692241	NEU 771
39202	682.2524	16492548177742107	NEU 5911
39202	682.2524	16492548177821895	NEU 4369
39202	682.2524	16492548177901681	NEU 37522
39202	682.2524	16492548178011387	NEU 12336
39202	682.2524	16492548178071229	NEU 61937
39202	682.2524	16492548178180935	NEU 257
39202	682.2524	16492548178240775	NEU 3084
39203	682.4045	16492548178400348	NEU 257
39204	682.4186	16492548178480135	NEU 11822
39204	682.4186	16492548178569899	NEU 257
39206	682.4359	16492548178649682	NEU 2827
39211	682.519	16492548179373457	NEU 257
39211	682.519	16492548179423324	NEU 3855
39212	682.5357	16492548179652708	NEU 257
39212	682.5357	16492548179702584	NEU 10537
39213	682.5524	16492548179782357	NEU 257
39213	682.5524	16492548179842206	NEU 4883
39214	682.569	16492548179921991	NEU 257
39214	682.569	16492548179991815	NEU 10794
39220	682.6691	16492548180989138	NEU 257
39221	682.6857	16492548181068930	NEU 11565
39253	683.2191	16492548186504802	NEU 257
39254	683.2357	16492548186594559	NEU 4112
39259	683.3191	16492548187502138	NEU 257
39260	683.3357	16492548187581918	NEU 4883
39260	683.3357	16492548187671925	NEU 257
39261	683.3525	16492548187731758	NEU 4112
39269	683.4858	16492548189177656	NEU 257
39270	683.5024	16492548189257446	NEU 4883
39270	683.5024	16492548189337239	NEU 257
39271	683.5191	16492548189407049	NEU 4112
39272	683.5356	16492548189536854	RWB 10
39285	683.7525	16492548191840532	NEU 257
39286	683.7691	16492548191920317	NEU 4883
39286	683.7691	16492548192010092	NEU 257
39287	683.7857	16492548192080229	NEU 4112
39319	684.319	16492548197501831	NEU 257
39320	684.3357	16492548197561674	NEU 4883
39320	684.3357	16492548197671385	NEU 257
39321	684.3524	16492548197721248	NEU 4369
39332	684.5357	16492548199647975	NEU 257
39333	684.5525	16492548199727757	NEU 18504
39333	684.5525	16492548199857703	NEU 257
39334	684.5691	16492548199937196	NEU 4883
39360	685.0024	16492548204317899	NEU 257
39361	685.0191	16492548204397669	NEU 13621
39379	685.3192	16492548207519325	NEU 257
39380	685.3358	16492548207599111	NEU 4112
39384	685.4026	16492548208227449	RWD 500
39384	685.4026	16492548208267339	NEU 257
39384	685.4026	16492548208337141	NEU 14135
39388	685.4691	16492548209025307	NEU 257
39389	685.4857	16492548209125365	NEU 4883
39396	685.6027	16492548210232083	RWD 500
39396	685.6027	16492548210271975	NEU 257
39396	685.6027	16492548210341788	NEU 14135
39396	685.6027	16492548210431548	NEU 257
