FrameSent	FrameStart	SystemTimestamp	Message
39675	690.4858	16492548259079713	NEU 257
39675	690.4858	16492548259209382	NEU 7967
39675	690.4858	16492548259289166	NEU 257
39675	690.4858	16492548259378920	NEU 8481
39675	690.4858	16492548259459006	NEU 2056
39675	690.4858	16492548259538495	NEU 29555
39675	690.4858	16492548259618285	NEU 257
39675	690.4858	16492548259698061	NEU 51657
39675	690.4858	16492548259807773	NEU 257
39675	690.4858	16492548259867605	NEU 52171
39675	690.4858	16492548259987288	NEU 257
39675	690.4858	16492548260067073	NEU 54484
39675	690.4858	16492548260176779	NEU 771
39675	690.4858	16492548260236618	NEU 5911
39675	690.4858	16492548260316405	NEU 4369
39675	690.4858	16492548260416139	NEU 38293
39675	690.4858	16492548260525845	NEU 12336
39675	690.4858	16492548260595660	NEU 62708
39675	690.4858	16492548260715338	NEU 257
39676	690.645	16492548260795131	NEU 3084
39677	690.6586	16492548260934752	NEU 257
39678	690.6701	16492548261014541	NEU 11822
39679	690.6857	16492548261094332	NEU 257
39679	690.6857	16492548261174128	NEU 2827
39680	690.7024	16492548261253905	NEU 257
39680	690.7024	16492548261333692	NEU 3855
39681	690.7191	16492548261413479	NEU 257
39681	690.7191	16492548261453706	NEU 10537
39681	690.7191	16492548261533153	NEU 257
39682	690.7357	16492548261592993	NEU 4883
39682	690.7357	16492548261663107	NEU 257
39683	690.7524	16492548261742878	NEU 10794
39688	690.8358	16492548262650174	NEU 257
39688	690.8358	16492548262739928	NEU 11565
39697	690.9858	16492548264176492	NEU 257
39698	691.0024	16492548264236347	NEU 4112
39699	691.0192	16492548264525411	NEU 257
39700	691.0358	16492548264615185	NEU 4883
39700	691.0358	16492548264694710	NEU 257
39701	691.0525	16492548264774497	NEU 4112
39701	691.0525	16492548264864258	NEU 257
39702	691.0692	16492548264934063	NEU 4883
39706	691.1358	16492548265672092	NEU 257
39707	691.1524	16492548265751877	NEU 4112
39716	691.3026	16492548267207984	RWB 10
39763	692.0858	16492548275197368	NEU 257
39763	692.0858	16492548275257209	NEU 4883
39776	692.3025	16492548277316768	NEU 257
39777	692.3191	16492548277386584	NEU 18504
39779	692.3524	16492548277840458	NEU 257
39780	692.3692	16492548277920249	NEU 4369
39783	692.4191	16492548278508677	NEU 257
39784	692.4358	16492548278578489	NEU 4883
39784	692.4358	16492548278688189	NEU 257
39785	692.4524	16492548278738056	NEU 4369
39785	692.4524	16492548278842842	NEU 257
39786	692.4691	16492548278912655	NEU 4883
39786	692.4691	16492548279002653	NEU 257
39787	692.4858	16492548279072229	NEU 4369
39787	692.4858	16492548279171956	NEU 257
39788	692.5024	16492548279231794	NEU 4883
39826	693.1357	16492548285654639	NEU 257
39827	693.1524	16492548285714480	NEU 13621
39849	693.519	16492548289444504	RWD 500
39849	693.519	16492548289484392	NEU 257
39850	693.5358	16492548289554450	NEU 14135
39861	693.7191	16492548291449380	RWD 500
39861	693.7191	16492548291489038	NEU 257
39861	693.7191	16492548291558846	NEU 14135
