FrameSent	FrameStart	SystemTimestamp	Message
38534	670.6523	16492548060746928	NEU 257
38534	670.6523	16492548060816747	NEU 7967
38534	670.6523	16492548060916469	NEU 257
38534	670.6523	16492548060976309	NEU 8481
38534	670.6523	16492548061056096	NEU 2056
38534	670.6523	16492548061135891	NEU 29555
38534	670.6523	16492548061215671	NEU 257
38534	670.6523	16492548061295468	NEU 51657
38534	670.6523	16492548061415143	NEU 257
38534	670.6523	16492548061474985	NEU 52171
38534	670.6523	16492548061594672	NEU 257
38534	670.6523	16492548061674462	NEU 54484
38534	670.6523	16492548061784165	NEU 771
38534	670.6523	16492548061844003	NEU 5911
38534	670.6523	16492548061923790	NEU 4369
38534	670.6523	16492548062003785	NEU 36494
38534	670.6523	16492548062123498	NEU 12336
38534	670.6523	16492548062203038	NEU 60909
38535	670.8024	16492548062322727	NEU 257
38535	670.8024	16492548062412477	NEU 3084
38536	670.8159	16492548062502535	NEU 257
38537	670.8271	16492548062582018	NEU 11822
38538	670.8356	16492548062661814	NEU 257
38539	670.8523	16492548062741597	NEU 2827
38545	670.9525	16492548063699031	NEU 257
38545	670.9525	16492548063758879	NEU 3855
38546	670.9689	16492548063988264	NEU 257
38546	670.9689	16492548064038421	NEU 10537
38547	670.9856	16492548064128141	NEU 257
38547	670.9856	16492548064217683	NEU 4883
38548	671.0023	16492548064297439	NEU 257
38549	671.0192	16492548064377220	NEU 10794
38554	671.1024	16492548065314721	NEU 257
38555	671.119	16492548065394786	NEU 11565
38571	671.3856	16492548068171853	NEU 257
38572	671.4023	16492548068271294	NEU 4369
38573	671.419	16492548068510658	NEU 257
38574	671.4356	16492548068590445	NEU 4883
38582	671.5691	16492548070006665	NEU 257
38583	671.5857	16492548070066503	NEU 4112
38600	671.8691	16492548072869323	RWB 10
38604	671.9357	16492548073676852	NEU 257
38605	671.9525	16492548073746666	NEU 4883
38637	672.4857	16492548079170911	NEU 257
38638	672.5023	16492548079250698	NEU 4112
38638	672.5023	16492548079340458	NEU 257
38639	672.519	16492548079410270	NEU 4883
38639	672.519	16492548079500031	NEU 257
38640	672.5358	16492548079569845	NEU 4112
38706	673.6357	16492548090700102	NEU 257
38707	673.6523	16492548090759962	NEU 4883
38716	673.8023	16492548092321169	NEU 257
38717	673.819	16492548092390985	NEU 18761
